"MNAME","USTAR","STORY","DIR","YEAR","GRADE"
"파만히칸",1000,"NULL","안젤로 산토스",2015,"NULL"
"살로메 브이",1000,"NULL","프리다 럭",2016,"NULL"
"B00",1000,"NULL","테레사 루",2015,"NULL"
"골든 골든",1000,"NULL","에리카 조",2016,"NULL"
"브루스 테이크스 드래곤 타운",1000,"NULL","에밀리 차오",2015,"NULL"
"티어스 오브 장이머우",1000,"NULL","왕자위",2016,"NULL"
"에이케이에이 서울",1000,"NULL","존 맥스웰",2016,"NULL"
"불륜 중독 : 남자들의 섹스 노리개",5.25,"만나는 남자마다 유부남인 유리카. 
?명절을 맞아 일주일 휴가를 내어 남자친구와 함께 밀라노 여행을 계획했지만 
?아내가 임신했다며 유리카와의 만남을 정리하고, 유리카는 졸지에 홀로 휴가를 보내게 된다. 
?그러던 중 명절에 고향에 내려오라며 남자친구를 데려오지 않으면 
?선을 주선하겠다는 엄마의 으름장 아닌 으름장에 남자친구가 있다고 거짓말을 하게 된다. 
?
?그때 밤친구는 물론 남자친구의 역할을 해줄 수 있다는 안드로이드 광고를 보게 된 유리카는 
?기대 반 의심 반의 마음으로 행사상품으로 나온 말은 할 수 없지만 듣고 
?이해하는 건 할 수 있는 안드로이드인 ‘앗군’을 주문하게 된다. 
?유리카는 앗군을 남자친구라 둔갑시켜 엄마에게 소개하고 
?엄마는 아는지 모르는지 반가운 마음으로 앗군을 맞이한다. 
?앗군과 함께 생활하며 마음의 평온과 행복을 느끼던 세 사람은 행복하고 
?따뜻한 나날을 보내게 되는데 
?
?그러던 중 유리카는 고향에서 또 다른 남자를 만나게 되며 관계가 얽히고 설키게 된다.","타지리 유우지",2011,"청소년 관람불가"
"하루치카",1000,"NULL","이치이 마사히데",2017,"NULL"
"썬 하트 러브",1000,"NULL","다니엘레 비카리",2016,"NULL"
"스모크 오버 런던",1000,"NULL","알베르토 소르디",1966,"NULL"
"디 이얼스 오브 더 로스트 이미지",1000,"NULL","아돌프 콩티",2012,"NULL"
"7:19",1000,"NULL","호르헤 미첼 그라우",2016,"NULL"
"하우, 웬 앤 위드 훔",1000,"NULL","안토니오 피에트란젤리",1969,"NULL"
"어 컨버세이션 위드 그레고리 팩",1000,"NULL","바바라 코플",1999,"NULL"
"쉘터",1000,"NULL","NULL",2016,"NULL"
"마이클 부블레 - 투어 스탑 148",1000,"NULL","브렛 설리반",2016,"NULL"
"서양과 소다",1000,"NULL","브루노 보제토",1965,"NULL"
"무지렁이들의 전쟁",1000,"1975년 여름 풀리아 동부 해안의 마을에서 부유한 집안 아이들과 카포니cafoni 즉 하층민 지역간의 싸움이 일어난다. 부유한 가정 리더가 전쟁을 선포하는데, 그의 실제 이름은 안젤로(천사라는 뜻)이지만 악인, 투사와 배반자의 뜻을 가진 마린호라는 별칭이 있다. 하층민에 대한 증오와 오해에서 출발하지만 카포나 즉 하층민 소녀에 대한 사랑에 의해 바뀌게 되고 늘 명확하던 선악의 분리가 모호해지기 시작한다. 까를로 다미치즈의 동명소설에서 영감을 받은 영화로 계급 간 충돌은 먼 이야기인 동시에 일상적인 이야기라는 걸 일깨워준다.
?
?[제9회 이탈리아영화제]","다비데 바레티",2017,"NULL"
"디노 리시 포에버",1000,"NULL","파브리지오 코랄로",2016,"NULL"
"인생 Message",1000,"털털한 남자가 항상 잠자는 걸 좋아한다. ?잠자는 동안 꿈에서 벌어지는 일들이 생활습관의 나타나면서 깜짝 놀래기도하고. 주의해야 할 일들이 많아지는데. ?이강철은 꿈속에서 여자친구를 보게 되었다. 느닷없이 내가 불렀다고 뺨을 맞는다.?꿈해몽에서는 여자친구에게 뺨을 맞는 꿈을 꾸면. 여자친구와 말다툼이 예상된다고 적혀있다?왠지 어딘지 모르게 이강철은 모르는 사람과 싸우는 꿈을 꾸게 된다.?꿈해몽정의에는 모르는 사람과 싸우는 꿈을 꾸게 되면. 까불다가 망신살이 생기고 구설수와 명예가 실추된다고 한다?또한 깡패들에게 집단폭행을 당할 때에는 군중이 많이 모인 한가운데에서 인신공격을 당하고 모멸감을 느낄 수 있다고 한다?또한 남에게 죽는 꿈을 꾸게 되면 다른 사람을 이기고 싶은 마음의 표현이라고 한다.","고명일",2016,"NULL"
"아레스",1000,"NULL","장-패트릭 베네스",2016,"NULL"
"러브 이즈 데드",1000,"NULL","에릭 캐피테인",2016,"NULL"
"사도",1000,"NULL","챠옌느 캐론",2014,"NULL"
"보이시스 프롬 체르노빌",1000,"NULL","폴 크루시튼",2016,"NULL"
"아이 엠 볼트",1000,"NULL","벤자민 터너",2016,"12세 관람가"
"디 인시던트",1000,"NULL","제인 린풋",2015,"NULL"
"멈스 리스트",1000,"NULL","니올 존슨",2016,"NULL"
"도널드 트럼프의 전쟁 2",1000,"NULL","안토니 벡스터",2016,"NULL"
"인 언더그라운드",1000,"어느 날 저녁 여자는 자신의 일을 마치고 저녁 무렵 집으로 가기 위해 지하철을 타러간다. 열차 플랫폼에서 지하철을 탄 여자는 저녁 퇴근시간이라 앉을 자리가 없는 것을 알고 피로가 몰려오는 채로 서 있는다. 우연히 정장을 입은 어떤 아저씨 앞에서 핸드폰을 보다가 그 아저씨와 눈이 마주치게 되는데...","최혜리",2014,"NULL"
"중고차사던날",1000,"현영은 중고차를 사던 날, 알 수 없는 일들로 불안에 휩싸인다.","이한열",2016,"NULL"
"선택",1000,"인간의 수명을 알려주는 스마트 시계의 발명, 그리고 아버지의 복수를 위해 거대 기업에 입사한 주인공 이야기","NULL",2015,"NULL"
"헬로우 버스킹",1000,"어린 시절, 아버지의 폭행으로 공황장애를 가지고 있는 아이돌 멤버 승엽, 사생팬 단비를 만나 버스킹을 시작한다.","정우진",2016,"NULL"
"네이플스 44",1000,"NULL","프란체스코 파티에르노",2016,"NULL"
"연기의 힘",1000,"연기 선생 준경은 제자 동규를 데리고 자신의 고향 삼천포로 간다. 그곳에서 연기의 진정성과 배우의 가치관에 대해 이야기를 하며 즐거운 시간을 보내는데……","김록경",2016,"NULL"
"기동전사 건담 디 오리진 III - 새벽의 봉기",1000,"우주세기0074년, 에드와우 마스는 샤아 아즈나블로 이름을 바꾸고 지온 자치 공화국 국방군 사관학교에 입학하게 되고 그 곳에서 자비 가문의 후계자인 가르마 자비와 만나게 된다. 샤아를 라이벌이라 생각하고 멀리하던 가르마이지만 점차 두 사람은 가까워지게 된다. 그리고 우주세기 0077년, 학생들은 독립을 손에 넣기 위해 지구연방군 치안부대에 대적하여 싸울 것을 결의한다. 드디어 샤아의 복수극의 서막이 오르는 순간이 찾아온다.","이마니시 타카시",2016,"12세 관람가"
"기동전사 건담 디 오리진 IV - 운명의 전야",1000,"선봉에서 「새벽의 봉기」를 일으킨 샤아는 그 후 지구로 향하고 신기한 능력을 가진 소녀 라라아 슨과 만나게 된다. 한편, RX-78개발계획을 진행 시키려는 아무로 레이의 아버지 템 레이는 모빌슈트 개발에 열쇠를 쥐고 있는 미노프스키의 망명 소식을 듣고 그를 따라 달로 떠나게 되고 그렇게 달 표면에서는 인류 역사에 존재하지 않았던 모빌슈트의 결전이 벌어지려 하고 있었다.","야스히코 요시카즈",2016,"12세 관람가"
"브뤼셀에서의 60년대 말의 소녀의 초상",1000,"NULL","샹탈 애커만",1994,"NULL"
"일곱 여인, 일곱 죄악",1000,"NULL","샹탈 애커만",1986,"NULL"
"텔 미",1000,"NULL","샹탈 애커만",1980,"NULL"
"아스트리드",1000,"아스트리드 린드그렌은 말괄량이 삐삐, 소년 탐정 칼레, 에밀은 사고뭉치, 지붕 위의 카알손 등 주옥 같은 동화들로 전세계 아이들의 사랑을 한 몸에 받으며 1억 5천만 부 이상의 판매고를 올렸을 뿐 아니라, 세계에서 가장 많이 읽히는 작가 10위 안에 드는 위대한 작가이다. 생전의 인터뷰와 주변 인물들의 이야기, 그리고 기록 영상들을 통해 그녀의 삶을 돌아보는 동시에, 지금 시대에도 여전히 살아 숨쉬며 희망과 위안을 주는 그녀의 작품 세계를 조명하는 다큐멘터리.
?
?[제5회 스웨덴영화제]","크리스티나 린드스트롬",2014,"NULL"
"잃어버린 낙원의 꿈",1000,"우리 땅, 우리 조국에 대한 희망을 품고 북송선에 몸을 실었습니다.
?곧 통일될 거라 믿고 가족을 북한으로 보낸 것이 지금 가장 큰 후회로 남습니다.
?지상낙원의 꿈을 안고 북으로 건너간 9만 3천여명의 재일동포들의 이야기.
?
?[제9회 북한인권국제영화제]","정은주",2016,"NULL"
"더스트",1000,"어느 날 한 남자가 학교에서 집으로 향하는 어린 소녀와 소녀의 엄마 뒤를 쫓는다. 남자는 해질 무렵까지 밖에서 기다렸다가 몰래 집에 들어가지만, 집에 들어선 순간 상황은 예상치 못한 방향으로 전개된다.
?
?[제14회 아시아나국제단편영화제]","벤 오크렌트",2013,"NULL"
"백조공주: 해적에서 공주로",1000,"자칭 슈퍼히어로인 일렉트라 우먼과 다이나 걸은 각광을 받기 위해 오하이오에서 범죄율이 높은 로스앤젤레스로 이사간다.답답한 성을 벗어나서 모험 가득한 세상을 여행하고 싶어하는 알리스 공주에게 고통스러운 순간이 닥친다. 오데트 공주와 데릭 왕자가 성을 비운 동안, 우버르타 여왕이 강도 높은 공주 수업을 시작한 것이다. 알리스를 위해 뱃사람 훈련을 계획했던 로저스 경은 그녀를 몰래 빼내어 배에 태운다. 알리스는 마치 해적이 된 것처럼 앞으로 펼쳐질 모험에 흥분하지만, 항해 직후 배가 폭풍우에 침몰하고 만다. 해변에서 깨어난 알리스 일행을 기다리고 있는 것은 사람을 먹어치우는 괴물 보그들. 위험천만한 괴물들을 피해 달아나던 알리스는 루카스의 도움을 받게 된다. 호젓한 숲속에서 홀로 지내는 루카스는 가난한 부모님에게 버림받았다는 생각에 집을 나온 소년. 알리스는 루카스와 함께 보그들의 먹잇감이 된 로저스 경을 구출하려다가 오히려 그들에게 붙잡히고 마는데...","브라이언 니슨",2016,"전체 관람가"
"아모르, 아모르 빠티",1000,"서로 사랑하는 두 소녀 조와 딘. 두 소녀의 사랑이 받아들여지지 않는 현실에서 조는 딘과의 관계를 부정하고 자신의 존재를 감추면서 세상에 적응하려 한다. 이에 딘은 자유롭게 사랑할 수 있는 다른 세계로 가자고 설득하는데…… 소녀들은 계속 사랑할 수 있을까? 그리고 삶을 사랑할 수 있을까?
?
?[제6회 서울프라이드영화제]","홍지영",2016,"NULL"
"환승",1000,"성민은 오늘 애인과 헤어지려고 한다. 선뜻 헤어지자는 소리를 하지 못하고 시간을 끌다 도망치는데, 과연 성민은 애인 갈아타기에 성공 할 수 있을까?","최영준",2016,"12세 관람가"
"새벽은 짧다",1000,"영재는 민호와 함께 생일을 보낸다.
?
?[제6회 서울프라이드영화제]","김승주",2016,"NULL"
"모모",1000,"소희는 옛 여자 친구인 아름을 만난다. 
?
?아름은 곧 독일로 떠날 예정. 소희는 아름과 함께 키우던 고양이 모모를 맡아 주기로 한다. 소희의 현재 여자 친구인 유진은 모모를 맡기로 한 소희가 섭섭하다. 고양이 모모의 행방을 둘러싸고 세 여인의 마음은 흔들린다. 옛 여자 친구 아름과 키우던 모모를 데려오며 떠나는 아름을 지켜보는 소희, 떠나며 소희에게 모모를 맡기는 아름, 소희와 아름이 함께 키우던 모모를 맡아야 하는 유진의 갈등이 펼쳐진다.","장윤주",2016,"NULL"
"바이바이바이",1000,"혜리는 오랫동안 사귄 남자친구 훈과 바람을 피웠다는 수아를 찾아가는데, 혜리를 본 수아는 한 눈에 그녀에게 반하게 된다.
?
?[제6회 서울프라이드영화제]","최은",2016,"NULL"
"이것은 픽션일 뿐이다",1000,"상대가 더 이상 관계를 이어가기를 원하지 않는다면 어떤 사람들은 거기서 헤어짐을 받아들인다. 하지만 혜진은 그렇지 않다. 관계의 끝을 인정할 수 없는 혜진은 여전히 해왔던 유아적이고 비참한 이별을 할 수 밖에 없다. 하지만 혜진은 이번만큼은 다른 선택을 하고 싶다. 자신과 상대, 우리를 위해 혜진은 이전의 방식과는 다른 이별을 선택한다.
?
?[제6회 서울프라이드영화제]","주좌영",2016,"NULL"
"아이 돈 케어",1000,"게이 고수미는 가정폭력, 성폭력, 결손가정, 방황하던 어린 시절, 미래를 알 수 없는 삶, 점차 사라져가는 자존감 등에 시달려온 과거가 싫다. 그 것을 극복해 보고자 자신의 이야기를 담은 단편영화를 만들어 보지만 여전히 미래는 불투명하고 꿈마저 사라져 간다. 하지만 아직은 세상과 사람들 앞에 당당하고 싶은 고수미 이다","강우",2016,"15세 관람가"
"질투는 나의 손님",1000,"술집에서 아르바이트를 하는 훈이는 사장님을 짝사랑하게 된다. 하지만 사장님은 단골 손님인 미숙에게 항상 깊은 관심을 보인다. 어느 날 새벽 가게 문을 닫으려는 순간, 미숙이 울면서 가게로 혼자 들어오게 되는데.
?
?[제6회 서울프라이드영화제]","김게이",2016,"15세 관람가"
"소녀가 내게 말했다",1000,"4년째 재희(여)와 동거 중이던 영진은 어느 날, 자신이 그녀와 같은 여자라고 말한다. 영혼과 육체가 서로 다른 영진은 아름다운 재희에게 자신이 소망해왔던 것들을 주며 살아왔다. 그러나 지금, 그는 자기 자신이 여자가 되려한다. 영진이 향한 곳은 공중화장실. 잠시 후 옆 칸을 향해 들어오는 힐 소리가 들리고, 위협을 느끼기 시작하는데… 영진은 화장실 칸 안에 갇힌 채 빠져나올 수 있을 것인가
?
?[제6회 서울프라이드영화제]","고은혜",2015,"NULL"
"반짝반짝",1000,"어두운 집, 홀로 사는 여자아이가 밝고 화목한 다른 집들을 부러워한다. 우연히 발견한 책에서 별을 만드는 방법에 대해 알게 되고, 여자아이는 자신과 함께할 별을 만들기 시작한다. 
?
?[제18회 부천국제애니메이션페스티벌]","박효선",2016,"NULL"
"비욘드",1000,"우주에 있는 블랙홀은 중력이 강해서 빛조차도 빨려 들어간다. 또한 지구에는 이상한 끌림이 있는 장소와 상황이 존재한다. 어떤 이들은 한 발짝 물러설 테지만, 어떤 이들은 관찰하기 위해 더 가까이 다가간다. 
?
?[제18회 부천국제애니메이션페스티벌]","밀란 코파즈",2015,"NULL"
"침묵이란 무엇인가",1000,"“내 부인은 내 영화를 좋아하지 않는다. 그녀는 이것들이 시간낭비라고 말한다. 그녀는 무지하고 편협한 사람이다. 그녀처럼 되지 않기를 바란다.”
?
?[제18회 부천국제애니메이션페스티벌]","패트릭 버",2015,"NULL"
"바베",1000,"양과 그의 즐겁고 귀여운 사건들. 
?
?[제18회 부천국제애니메이션페스티벌]","베흐자드 파라핫",2016,"NULL"
"크링-크링",1000,"토끼와 오소리가 같이 일할 때, 말과 당나귀는 반드시 아첨을 경계해야 한다. 
?
?[제18회 부천국제애니메이션페스티벌]","아이리스 알렉상드르",2015,"NULL"
"클라이맥스 : 마켓 가드너",1000,"극한 기상 상황 대비를 위한 판매용 채소 경작인의 이야기. 
?
?[제18회 부천국제애니메이션페스티벌]","클레망스 강딜로",2015,"NULL"
"고고 기와스",1000,"<고고 기와스>는 과학 교육 3D 애니메이션 시리즈로 대만 원주민들의 자연적인 삶과 문화를 바탕으로 하고 있다. 
?
?[제18회 부천국제애니메이션페스티벌]","카오 이펑",2016,"NULL"
"쓰담쓰담 동물원 프렌쥬",1000,"보금자리를 잃은 농장 동물들은 여기저기 헤매며 떠돈다. 배고프고 지친 동물들은 마침내 동물원에 다다르지만 동물원 동물들과 친해지기가 쉽지 않다. 그들이 보기엔 농장 동물들은 너무 평범하다.
?
?[제18회 부천국제애니메이션페스티벌]","한창훈",2016,"NULL"
"리골레토",9.25,"‘리골레토’는 한 아버지의 비극을 그린 작품으로, 무대는 이탈리아 북부의 만토바 공국이다. 만토바를 다스리는 젊은 공작을 위해 일하는 어릿광대 리골레토는 바람둥이 공작에게 여자를 소개해 주고 뒤처리까지 해주며 두터운 신임을 얻는다. 그러나 리골레토의 숨겨진 딸 질다에게 공작이 접근하면서 돌이킬 수 없는 비극이 시작된다.
? 
?셰익스피어의 ‘리어왕’을 오페라로 각색 중이던 베르디는 빅토르 위고의 희곡 ‘환락의 왕’을 읽고 “벼락을 맞은 듯” 영감을 받았다고 한다. 경솔하고 음탕한 공작, 이중인격자인 꼽추이자 욕쟁이 광대 리골레토, 그리고 무지한 채로 억류돼 있던 리골레토의 딸 질다… 기괴하고, 숨막히고, 엽기적이면서도 숭고한 ‘리골레토’는 ‘이 천벌을 받을 놈들아 (Cortigiani, vil razza dannata)’라는 아리아를 통해 절정에 달하는데, 베르디는 벨칸토부터 극적인 사실주의까지 아우르는 새로운 형태의 오페라를 창조해낸다. 니콜라 루이조티가 지휘하며, 연출가 클라우스 구트가 파리국립오페라에서 처음으로 선보이는 프로덕션이다.","NULL",2016,"NULL"
"옹박 2016",5.29,"오랫동안 기다려 온 리얼 맨몸 액션의 부활! 사람들에게 진짜 액션이 무엇인지 보여주고 싶어하던 3류 배우 유세프는 영화 속이 아닌 현실 세계에서 진정한 무술 고수가 되기로 결심한다!","데니스 루엘",2015,"15세 관람가"
"다이아몬드 하이스트",8,"다이아몬드를 차지하기 위한 갱들의 모의가 시작되고 있던 런던의 한 클럽에서 갑자기 두 명의 무용수가 사라진다. 당장 앞으로의 쇼에 오를 사람이 없어 급하게 대체할 무용수들을 헝가리에서 데려오기로 하는데… ??이는 사실 다른 파의 갱에서 다이아몬드를 차지하기 위해 스파이를 심어놓기 위한 작전으로 헝가리에서 두 명의 스파이가 클럽에서 보낸 헬리콥터를 타러 가던 와중에 이러한 사실은 전혀 알지 못하는 두 헝가리 남자가 우연히 런던행 헬리콥터에 오르게 된다. 갱들의 다이아몬드 쟁탈전에 어쩌다 끼어든 대책 없는 남자들의 인생 역전! 과연 이루어 질 수 있을까?","로버트 콜타이",2012,"청소년 관람불가"
"언틸 포에버",9.33,"첫눈에 반한 마이클과 미셸이 서로 깊은 사랑에 빠지고 미래를 약속하던 그 때, 둘은 마이클의 백혈병 선고라는 청천벽력 같은 소식을 접한다. 오랜 시간 함께하지 못할 것을 알면서도 그의 곁을 떠나지 않고 지켜주는 미셸 덕분에 꿋꿋하게 버텨내던 마이클은 오히려 가족들과 다른 환자들을 응원하며 힘이 되어주기 시작한다. 그러던 어느 날, 마이클의 백혈병이 드디어 완치 되었다는 기적 같은 희망을 마주하게 되는데…??영원을 약속한 두 사람에게 허락된 사랑의 시간은 어디까지일까?","마이클 린",2016,"12세 관람가"
"러브슬레이트",1000,"Wbc 라는 드라마 제작사에 취직한 김산은 입사 한달만에 드라마 제작 업무를 맡게 되고 이 과정에서 대학때 좋아했던 성지영을 만나게 된다. 우연한 계기로 총무팀 도혜리와 관계를 갖게된다. 시나리오 작업이 늦어지는 일로 김산은 성지영의 집으로 향하고 성지영은 도혜리와의 관계를 김산에게 말한다. 한편 스폰서 역할을 하고픈 국장은 김산의 드라마에 자신이 좋아하는 연예인 수인이를 주인공으로 발탁한다. 국장은 수인이를 불러 유인하지만 이사실을 알게된 김산의 재치로 위기를 모면하고 화가난 국장은 주인공을 비아로 교체하라는 명령을 내린다. 국장과 좋은 관계에 있는 비아는 자신이 주인공 역할을 할 수 있도록 김산을 유혹하지만 김산은 수인이를 지키기에 여념없다. 국장으로부터 지속적인 압력속에서도 자신을 지키려 한 김산의 마음을 알게된 수아는 처음으로 김산과 관계를 갖게된다. 이후 김산의 아이디어로 수아를 주인공으로 유지시키는데...","김현수",2016,"청소년 관람불가"
"차력사",1000,"이 영화는 미래가 불투명한 현실을 살아가는 우리의 인생과도 같은 
?극중의 젊은 차력사들의 삶을 그리며 그 곳에서 일어나는 기상천외한 일들과 
?어두운 세계의 건달들과의 마찰을 코믹하고 재미있게 그려냈다. 
?
?차력사 태훈이 가진 것 이라고는 몸둥아리 하나 밖에 없고 
?할 줄 아는 일이라고는 평생 배운 뛰어난 무술 실력과 스승님께 배운 차력 기술이 전부다. 
?나이트 클럽에서 차력을 하기 위해 레슬링 선수출신인 친구 뭉치를 만나 
?함께 차력을 하자며 뭉치의 전 재산인 100만원을 신문광고비로 눈물 겹게 지불하게 하고 
?차력사들을 모집하는데... 
?
?태권도,검도,합기도,유도등 각종 무술을 수련한 사람들과 정신이상자, 
?깡시골에서 상경한 촌놈등 희한한 놈들이 오디션을 보기 위해 
?뭉치의 삼촌이 운영하는 태권도장으로 모인다. 
?
?마침내 태훈,뭉치,최사범,빡빡이,백돼지 이렇게 5명의 차력사 맴버가 결성되고 
?차력 훈련을 위해 1달간 연습을 하는데 생각지 못한 일들이 엽기적이면서 코믹하게 벌어진다. 
?마지막으로 차력팀 이름을 “조선호랑이”라고 짓고 나이트 클럽의 오디션을 보는데 
?연습과 같지 않게 모두 긴장을 하여 차력쇼는 코믹쇼가 되고 
?클럽 사장에게 욕먹을 걱정을 하게 되는데 뜻하지 않게 전화위복이 되고 
?고진감래의 시절을 맞이한다. 마침내 한명씩 배운 기술들을 성공하게 되고 
?클럽쇼는 늘어나게 된다. 
?
?밤의 세계의 화려한 조명과 관객들의 감탄, 탄성, 박수 
?그 이면에 야유와 멸시, 술에 취한 취객의 추태, 강남마담들의 탐욕의 손길, 
?젊고 아름다운 여인들의 유혹, 바비인형 같은 러시아 미녀 무용수들 등 
?온갖 유혹과 호기심 속에 이들의 모험이 시작된다. 모든 것을 해결해야하고 책임져야하는 리더 태훈, 
?반면에 작은 충돌들도 참지 못하는 뭉치와 최사범, 
?아는 것이라고는 무식과 의리 밖에 없는 시골에서 상경한 완전촌놈 빡빡이, 
?본인 말로는 유도 선수 출신이라고 하는데 유도의 기본도 모르는 완전 야매 유도선수 백돼지, 
?취객들과의 시비 속에 뭉치가 화를 참지 못해 사건이 일어나고 그 속에 최사범도 뛰어 드는데... 
?
?이들의 트러블을 또 해결해야하는 태훈...
?모든 것이 완벽해 보이는 태훈도 금기가 있었으니, 
?태훈은 술을 먹으면 180도 완전히 다른 사람으로 변하는데... 
?그것을 아는 친구 뭉치는 항상 술을 먹지 못하게 태훈을 제재한다. 
?어느날 태훈은 너무도 아릿다운 미진을 만나 한눈에 반해 사랑에 빠진다. 
?
?그러나 밤 문화에 적응 되어 있던 태훈은 미진에 대한 미안함과 
?자신에 생활에 대한 갈등으로 혼란을 격게 되고 괴로운 태훈은 
?철저히 단절해왔던 술을 마시게 되는데... 
?
?차력쇼를 마치고 손님이 준 술을 벌컥 마셔버린 태훈은 술에 취해 
?평상시와 전혀 다르게 과격해지고 작은 충돌에도 참지 못하게 된다. 
?이때 지나가던 한사람과 어깨를 부디 치게 되고 시비가 붙게 된다. 
?그런데 아뿔사! 하필 그 지역에 무시무시하기로 소문난 건달보스인 
?깍두파 두목 깍두를 건드리게 되는데…","김종호",2017,"NULL"
"아르제나 발레니페라",1000,"한 여자가 연인과 함께 무도회장에 들어온다. 남자의 시선이 다른 여자에게 머물고, 그것을 알아차린 여자는 와인을 가져오겠다며 사라진다. 와인 잔을 들고 다시 연인에게로 향한 그녀는 탱고를 추자고 제안한다.
?
?[제18회 부천국제애니메이션페스티벌]","안나 시레치",2016,"NULL"
"신밧드 더 무비",4.74,"엄마와 원숭이 미미와 사는 신밧드.
?선원이던 아빠는 어릴 때 바다에 나간 뒤 돌아오지 않았지만,
?신밧드는 어릴 때부터 바다 건너편에 펼쳐진 미지의 세계를 동경해 왔다.
?그러던 어느 날, 목마를 탄 소녀 사나가 하늘에서 나타난다.
?전설의 마법족 공주인 그녀는 전 세계에 흩어진 동료를 찾는 여행 중이다.
?그러나 사나가 지닌 마법의 비밀을 노리고 뒤쫓는 수상한 무리들이 있다. 바로 갈리프와 그의 부하들. 
?
?갈리프는 사나의 부모이자 마법족 왕의 제자 출신으로,
?그녀의 부모를 살해하고 사나의 마법을 이용해 세상을 자기 것으로 만들려는 야망을 품고 있다.
?신밧드는 사나를 구하려고 고군분투하지만, 그녀는 어디론가 사라져 버린다.
?그런 신밧드를 지켜보던 바하르 호의 선장 라자크는 마침내 신밧드를 선원으로 받아들인다.
?그리고 신밧드는 엄마에게 이별을 고하고, 꿈에 그리던 항해를 떠나는데…
?
?한편 폭풍으로 파손된 바하르 호를 수리하려고 가까운 섬에 정박한 신밧드와 바하르 호의 선원들은 수수께끼 섬에 숨겨진 램프를 찾아 나선다.
?그리고 그들의 뒤를 쫓는 달과 부하들. 갑자기 움직이기 시작하는 섬. 
?
?과연 신밧드는 마법의 램프를 찾을 수 있을까? 긴 여정 끝에 마침내 도달한 “한낮의 밤”과 “수수께끼의 문”. 
?
?사나는 그토록 찾아 헤매던 동료들을 찾을 수 있을까?","미야시타 신페이",2016,"전체 관람가"
"미라보 다리",1000,"추상적으로 물 속에 잠긴 것은 감동적인 기억의 파도에서 잃어버린 사랑을 섞는다. 
?
?[제18회 부천국제애니메이션페스티벌]","마저리 콥",2016,"NULL"
"카르멘",1000,"‘트위터’의 상징인 파랑새를 등장시키면서 한 남자의 SNS 중독 일상을 담았다. 
?밥을 먹으면서도 스마트폰을 놓지 못하고 멋진 레스토랑에서 파스타를 먹으면서도 사진을 찍어대는 남자. 
?심지어는 영화관에서도 사진을 찍고 올리기에만 몰두한다. 
?
?SNS에 중독된 현대인의 일상을 풍자한 뮤직 비디오로 실뱅 쇼메만의 색채와 블랙유머로 가득하다. 
?
?안시영화제 커미션드 경쟁작
?
?
?[제18회 부천국제애니메이션페스티벌]","실뱅 쇼메",2015,"NULL"
"미국 이야기",1000,"나레이터인 감독 자신의 목소리는 전통의 단절을 고민하는 유대 설화를 들려주며 영화를 시작한다. “기도방법을 잊어버렸다면 어떻게 해야 할까요?...대를 이을 자식도 없다면 어떻게 해야 할까요?....” 이윽고 한판 굿처럼 유대 공동체의 미국 정착 수난사가 펼쳐진다. 유대 디아스포라에 관한 아커만의 작품 중 가장 직설적이면서도 가장 연극적인 이 영화의 대부분은 뉴욕에서 촬영되었으며, 그녀의 작품 중에서는 드물게 대사도 영어다.","샹탈 애커만",1989,"NULL"
"80년대",1000,"뮤지컬 <80년대 갤러리>를 준비하던 아커만은 재정상의 문제로 3년을 기다려서야 완성을 볼 수 있었다. <80년대>는 그 지난한 3년 동안을 기록한 <80년대 갤러리>의 제작 과정에 관한 다큐멘터리이다. 오디션을 준비하고, 동선 연습을 시키고, <80년대 갤러리>의 미장센을 고민하는 연출자 아커만을 이 영화에선 자연스럽게 지켜 볼 수 있다. 그러나 <80년대>는 메이킹 다큐에만 머물지 않고, 독창적인 편집 리듬과 실험적인 사실 재현으로 새로운 픽션의 영역을 창출해낸다.","샹탈 애커만",1983,"NULL"
"다크쇼: 익스트림 서바이버",1.8,"개인의 한계를 시험하는 익스트림 한계돌파 프로그램은 새 게스트 다비드를 초대해 프로그램의 혁신을 꿈꾼다.
?카메라맨 팀과 진행자 케이트, 다비드 세 사람은 방송을 진행하던 도중 폭풍을 만나 우연히 발견한 성에서 하루를 묵게 되는데...
?성 안에서 비명이 들리며 한 사람씩 실종되기 시작하고, 홀로 남은 다비드는 살인마를 죽이고 탈출한다.","올리비에 파르톤나우드",2016,"15세 관람가"
"기침",1000,"NULL","김성진",2009,"NULL"
"칼라",1000,"NULL","데이빗 윌슨",2016,"NULL"
"더 라스트 게이즈",1000,"NULL","패트리샤 아리아가-요르단",2006,"NULL"
"얼리 헤츨링 겟츠 더 웜",1000,"NULL","존 라이스",2016,"NULL"
"사이코메트리",3.5,"상류층들만 노리는 연쇄 살인마 엠마.?국가는 가장 위험한 현상 수배자로 그녀의 행방에 주목하고 있다.?그리고 그녀를 쫓는 한 사람. 소리를 형상화 시킬 수 있는 초능력을 가진 형사 가브리엘. ?그는 뛰어난 사이코 메트리 능력으로 그녀의 살인 사건을 형상화 하며?그녀를 압박하기 시작하는데…?과연 엠마의 폭주 살인을 막고 그녀의 비밀을 풀어낼 수 있을 것인가?","토마스 로스",2016,"청소년 관람불가"
"아버지의 결혼",1000,"NULL","후쿠다 모모코",2016,"NULL"
"루 만다르",1000,"NULL","이디트 케불라",2012,"NULL"
